,county,total_vehicle,ev,passenger_vehicle,truck,trailer,motorcycle,bus,other
0, ,10371721,33386,6639172,2159306,1324368,211337,37489,49
1,Appling,23682,1,9707,7875,5700,307,93,0
2,Atkinson,9714,2,3983,3309,2258,119,45,0
3,Bacon,14093,4,5541,4621,3665,190,76,0
4,Baker,4234,1,1867,1326,978,43,20,0
5, ,10371721,33386,6639172,2159306,1324368,211337,37489,49
6,Appling,23682,1,9707,7875,5700,307,93,0
7,Atkinson,9714,2,3983,3309,2258,119,45,0
8,Bacon,14093,4,5541,4621,3665,190,76,0
9,Baker,4234,1,1867,1326,978,43,20,0
10,Baldwin,43946,36,25099,10424,7556,752,115,0
11,Banks,29424,10,12755,8754,7002,833,80,0
12,Barrow,105920,146,60657,25925,16241,2804,291,2
13,Bartow,133046,151,72835,33720,22549,3587,354,1
14,Ben Hill,17598,3,9086,4930,3252,263,67,0
15,Berrien,22538,12,9797,6846,5311,503,81,0
16,Bibb,134353,164,91798,26978,13144,1909,524,0
17,Bleckley,15665,7,7304,4415,3540,338,68,0
18,Brantley,22407,4,9136,6902,5890,399,79,1
19,Brooks,19436,2,9086,5787,4209,287,67,0
20,Bryan,48776,81,28191,11143,7915,1397,130,0
21,Bulloch,72451,47,38491,19893,12325,1430,312,0
22,Burke,28693,13,14918,8391,4697,542,145,0
23,Butts,34254,17,16624,9239,7348,963,79,1
24,Calhoun,5781,1,2774,1717,1174,66,50,0
25,Camden,54642,63,32953,11934,7833,1763,159,0
26,Candler,13325,6,6272,4113,2646,245,49,0
27,Carroll,13325,6,76686,35065,21168,3607,387,1
28,Catoosa,66616,47,40953,16178,7531,1761,192,1
29,Charlton,11454,1,5238,3271,2723,176,46,0
30,Chatham,253931,622,179757,47543,20599,4804,1226,2
31,Chattahoochee,5852,3,3579,1454,587,212,20,0
32,Chattooga,28342,16,13969,8424,5222,650,75,2
33,Cherokee,276659,1039,183650,52284,32556,7547,622,0
34,Clarke,87707,312,63675,15321,6904,1267,538,2
35,Clay,4159,0,1763,1037,1307,35,17,0
36,Clayton,216800,250,163206,35800,13831,3233,729,1
37,Clinch,7992,2,3338,2435,2105,77,37,0
38,Cobb,650882,4243,493567,98410,44558,12353,1994,0
39,Coffee,45925,17,21348,13897,9914,608,158,0
40,Colquitt,51435,15,24960,15223,10172,727,352,1
41,Columbia,156485,334,101613,32178,18741,3484,468,1
42,Cook,20005,4,9550,5755,4319,277,104,0
43,Coweta,156247,413,95076,33319,22888,4447,517,0
44,Crawford,17066,4,7559,4850,4156,435,66,0
45,Crisp,21839,5,11355,6048,4051,284,101,0
46,Dade,17305,14,9185,5169,2464,431,56,0
47,Dawson,41275,88,22479,10093,7257,1353,93,0
48,Decatur,32130,9,15933,8927,6745,404,121,0
49,DeKalb,524683,4497,432752,60155,22838,7003,1933,2
50,Dodge,21515,14,10017,6424,4649,332,93,0
51,Dooly,11872,4,5837,3360,2406,210,59,0
52,Dougherty,76824,34,50389,15610,9520,988,317,0
53,Douglas,130262,252,88499,24662,13501,3098,501,1
54,Early,15781,1,6229,3655,5691,161,43,2
55,Echols,5156,1,1795,1718,1497,59,87,0
56,Effingham,80489,58,42157,20189,15505,2427,211,0
57,Elbert,26527,11,12744,7833,5319,532,99,0
58,Emanuel,26888,7,12921,8132,5281,449,105,0
59,Evans,11801,1,5601,3689,2235,222,54,0
60,Fannin,38195,43,18643,10671,7354,1411,116,0
61,Fayette,128365,746,85662,23541,15788,2977,397,0
62,Floyd,105189,90,59668,26288,16133,2519,580,1
63,Forsyth,239065,2091,166137,41265,25740,5287,636,0
64,Franklin,33165,18,15303,9776,7192,816,78,0
65,Fulton,772737,9087,642519,85250,29861,10854,4245,8
66,Gilmer,43174,40,21984,11929,7679,1474,108,0
67,Glascock,4297,1,1636,1420,1168,56,17,0
68,Glynn,90191,184,57085,19097,11954,1737,318,0
69,Gordon,71347,62,36432,19066,13763,1912,173,1
70,Grady,30237,8,14434,8496,6745,472,90,0
71,Greene,26830,81,15701,6072,4604,369,84,0
72,Gwinnett,778277,3895,595355,117898,49730,12308,2984,2
73,Habersham,57392,49,29729,15248,10725,1453,237,0
74,Hall,234190,436,141886,53194,33162,5257,689,2
75,Hancock,10545,1,5746,2702,1863,162,72,0
76,Haralson,41043,15,19423,12153,8228,1144,94,1
77,Harris,48651,67,25095,12605,9582,1222,147,0
78,Hart,37502,30,18876,9978,7707,871,69,1
79,Heard,17476,2,7422,5377,4165,457,55,0
80,Henry,225885,456,154907,39761,25145,5453,619,0
81,Houston,164108,204,106177,33005,20669,3769,488,0
82,Irwin,11412,3,4960,3815,2426,165,46,0
83,Jackson,101044,146,56290,24551,17240,2647,316,0
84,Jasper,24123,7,10681,6796,5939,626,81,0
85,Jeff Davis,17623,2,7405,5708,4249,194,67,0
86,Jefferson,20274,5,10156,5768,4020,232,98,0
87,Jenkins,9094,1,4183,2909,1846,112,44,0
88,Johnson,10350,0,4638,3313,2221,139,39,0
89,Jones,36327,19,18257,9654,7464,813,139,0
90,Lamar,25653,27,12435,6871,5613,697,37,0
91,Lanier,9935,0,4764,2930,1969,225,47,0
92,Laurens,57999,13,30086,16393,10378,923,219,0
93,Lee,39267,41,20345,9527,8495,763,137,0
94,Liberty,62138,41,41940,11904,6352,1707,235,0
95,Lincoln,12853,4,5747,3594,3262,202,48,0
96,Long,18706,3,9849,4886,3304,587,80,0
97,Lowndes,108542,77,63824,25159,16716,2386,456,1
98,Lumpkin,40568,65,21030,10804,7002,1614,117,1
99,Macon,12665,4,6531,3548,2339,175,72,0
100,Madison,43690,19,20477,12354,9872,878,109,0
101,Marion,9942,1,4401,3026,2279,176,60,0
102,McDuffie,27847,11,14279,7419,5497,555,97,0
103,McIntosh,16244,12,8321,4425,3092,356,50,0
104,Meriwether,32108,9,16081,8424,6729,769,105,0
105,Miller,7431,0,3235,2316,1750,96,34,0
106,Mitchell,25374,3,11921,7119,5903,317,114,0
107,Monroe,42891,45,21044,11368,9380,889,209,1
